course_id,student_id,class_participation,attendance,calibration,assignments,midterm,final,weekly_hours_1,weekly_hours_2,weekly_hours_3,weekly_hours_4,weekly_hours_5,grade
CSE1,1,48.1217268183,23.0833924827,33.964816472,48.3924251593,29.7292134854,41.8291825854,1.15571443057,1.24383873584,1.37682650477,0.4440982796,0.4440982796,46.6635070254
CSE1,2,36.9412179317,26.0324647314,50.0229452419,41.2960949224,21.4732221891,26.9561356513,0.368020403255,0.860494541643,1.13898882549,1.03870364873,1.03870364873,40.4148443537
CSE1,3,37.3591412387,23.1282729988,44.1034385633,37.3730053494,44.0113152317,51.271772213,1.57585846765,1.94760415585,0.321942873631,1.57059205644,1.57059205644,50.4290512585
CSE1,4,34.6351568892,21.547943585,37.6152573192,35.5288871478,51.6381192418,59.3088575288,1.22406235409,1.35560178287,0.933760045527,0.0446608559836,0.0446608559836,52.3920551606
CSE1,5,44.3270381466,23.2875386916,43.9081451723,42.9644604784,9.56219949109,47.089551105,0.107818544148,0.397139776854,0.69034410231,0.648724919452,0.648724919452,43.5942191417
CSE1,6,28.4923065156,29.8733540108,39.3954262958,40.5413804784,43.597804335,43.298913367,0.840387360002,0.853402018696,0.450079915628,1.7458447528,1.7458447528,47.4015667619
CSE1,7,48.7240588211,18.8268965136,49.0530350996,37.593024271,47.9041582846,43.0448867927,1.35813767313,0.686692479549,1.18502373753,1.6894192152,1.6894192152,50.8336874523
CSE1,8,36.1939654955,32.3441569782,52.1585345314,40.3051779978,33.7181286623,43.1666206856,1.83720355596,1.59527760792,0.624539675404,1.07688118519,1.07688118519,48.4650205021
CSE1,9,41.5951954803,46.5980217711,57.4846032523,35.6599940924,16.8080516443,44.1218658581,0.000804049782715,1.75999657713,1.83261110694,1.73321654833,1.73321654833,45.7867511504
CSE1,10,38.7531481226,37.4204416058,28.8280293161,44.8862242385,39.496798493,36.1458688988,1.95351829806,1.80768391165,1.8192710499,1.89961198271,1.89961198271,44.9058343503
CSE1,11,47.3105396852,28.0816444764,28.4470895566,36.8701000465,28.0098766771,40.3803387946,0.753160629492,1.32543962475,0.514236587564,1.65281399526,1.65281399526,41.4419573917
CSE1,12,29.6992964525,21.1237103592,35.9642730964,48.5715539336,23.3568730943,37.0208122064,1.94756707672,0.54041652406,0.221782601488,1.70823088767,1.70823088767,42.2687604362
CSE1,13,38.3879139799,22.5284170625,41.2802965556,42.8244414925,16.4693605077,45.7415941297,1.20943220195,0.504733403009,0.385925464038,0.197486803641,0.197486803641,43.5790351657
CSE1,14,38.0797282267,46.9245460103,47.0093513689,44.1550496627,36.0559124557,41.9235119334,1.65769161596,1.70979588539,0.999168341358,1.30260866468,1.30260866468,49.6724987406
